code,customer_id,sales_date,base_date,pvp,margen_relativo,margen_eur_negativo,coste_venta_no_impuestos,forma_pago,dias_desde_compra,garantia_dias_restantes,en_garantia,ext_garantia_tiene,ext_garantia_financiera,mantenimiento_gratuito,seguro_bateria_largo_plazo,days_last_service,sin_revisiones,revisiones,km_ultima_revision,km_medio_por_revision,encuesta_cliente_zona_taller,tiene_queja,lead_compra,fue_lead,frequency_total,tenure_days,ticket_avg,service_interval_mean_days,service_interval_std_days,edad,genero,renta_media_estimada,renta_desconocida,status_social,modelo,equipamiento,es_electrico,kw,zona
SYN002386,71390,2024-01-12,2023-12-31,26885.0,0.19482685512367492,0,1521.0,Financiera Marca,-12,1472,1,1,1,0,0,0,1,0,0.0,0.0,0.0,0,1,0,1,435.0,13433.0,0.0,0.0,32,F,33387.0,0,A,I,High,0,117.0,ESTE
SYN004245,89309,2024-02-26,2023-12-31,33579.0,-0.06063849429703089,1,2582.0,Financiera Marca,-57,1517,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0,0,0,1,1964.0,13698.0,0.0,0.0,26,M,22518.0,0,I,I,Mid-High,0,106.0,CENTRO
SYN009429,58005,2024-01-20,2023-12-31,25514.0,0.21194246296151134,0,994.0,Contado,-20,1480,1,1,0,0,0,0,1,0,0.0,0.0,13.0,0,0,0,2,1469.0,16335.0,1155.0,0.0,41,M,29923.0,0,C,B,High,0,74.0,CENTRO
SYN001579,42052,2024-01-07,2023-12-31,29446.0,0.20188039122461454,0,1482.0,Financiera Marca,-7,1467,1,1,1,0,0,0,1,0,0.0,0.0,93.0,0,0,0,1,315.0,14290.0,0.0,0.0,52,F,27228.0,0,G,C,Low,0,78.0,NORTE
SYN009840,42052,2024-03-25,2023-12-31,17512.0,0.12482469164001826,0,746.0,Otros,-85,1545,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,2,393.0,21868.0,315.0,0.0,52,F,27228.0,0,G,H,Mid,0,85.0,CENTRO
SYN009935,37113,2024-02-13,2023-12-31,21553.0,0.012100867628636386,0,0.0,Contado,-44,1504,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,1,1784.0,14672.0,0.0,0.0,28,M,29903.0,0,G,B,Mid-High,0,85.0,CENTRO
SYN002972,63362,2024-01-29,2023-12-31,36771.0,0.22686900002719537,0,994.0,Contado,-29,1489,1,0,0,0,0,0,1,0,0.0,0.0,9.0,0,0,0,1,1694.0,14672.0,0.0,0.0,32,F,0.0,1,U,I,Mid-High,0,117.0,CENTRO
SYN007177,28422,2024-03-24,2023-12-31,36771.0,0.21585488564357783,0,1399.0,Financiera Marca,-84,1544,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0,0,0,1,654.0,14672.0,0.0,0.0,55,F,28142.0,0,B,C,Mid,0,101.0,CENTRO
SYN000164,27753,2024-03-28,2023-12-31,22948.0,0.18522485619661844,0,1482.0,Financiera Marca,-88,1548,1,1,1,0,0,0,1,0,0.0,0.0,0.0,0,1,0,2,1100.0,13711.0,1093.0,0.0,43,M,26031.0,0,H,H,Mid,0,85.0,ESTE
SYN004170,27753,2024-03-21,2023-12-31,12656.0,0.02565423514538559,0,1225.0,Contado,-81,1541,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,1,1093.0,14766.0,0.0,0.0,43,M,26031.0,0,H,I,High,1,106.0,ESTE
SYN006371,91645,2024-01-26,2023-12-31,11004.0,0.1194810977826245,0,0.0,Otros,-26,1486,1,0,0,0,0,0,1,0,0.0,0.0,94.0,0,0,0,2,1660.0,19328.0,198.0,0.0,53,F,32105.0,0,C,J,Mid,0,183.0,CENTRO
SYN004526,38270,2024-02-08,2023-12-31,25874.0,0.014037643966916594,0,0.0,Contado,-39,1499,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,1,1208.0,16683.0,0.0,0.0,45,F,27829.0,0,E,D,Mid-High,0,106.0,CENTRO
SYN001570,71308,2024-02-02,2023-12-31,23293.0,-0.061089597733224574,1,1725.0,Contado,-33,1493,1,0,0,0,0,0,1,0,0.0,0.0,59.0,0,0,0,2,1848.0,22104.0,1677.0,0.0,28,M,22920.0,0,F,B,Mid,0,77.0,ESTE
SYN009288,49669,2024-02-14,2023-12-31,26495.0,0.19385733157199472,0,1521.0,Financiera Marca,-45,1505,1,1,1,0,0,0,1,0,0.0,0.0,11.0,0,0,0,2,1797.0,24481.0,1436.0,0.0,43,F,24819.0,0,D,J,Mid,0,183.0,ESTE
SYN006449,15686,2024-02-21,2023-12-31,30377.0,-0.0387487243638279,1,1647.0,Contado,-52,1512,1,0,0,0,0,0,1,0,0.0,0.0,13.0,0,0,0,1,446.0,20295.0,0.0,0.0,59,F,33451.0,0,D,C,Low,0,78.0,ESTE
SYN004598,54990,2024-01-28,2023-12-31,30330.0,0.21836564457632707,0,1034.0,Contado,-28,1488,1,0,0,0,0,0,1,0,0.0,0.0,9.0,0,0,0,1,289.0,20295.0,0.0,0.0,61,M,17445.0,0,K,D,Mid,0,120.0,ESTE
SYN001620,18211,2024-03-01,2023-12-31,33717.0,-0.048578165317199044,1,2187.0,Financiera Marca,-61,1521,1,1,1,1,0,0,1,0,0.0,0.0,19.0,0,0,0,2,1395.0,15885.0,922.0,0.0,32,F,31263.0,0,E,H,Mid,0,85.0,ESTE
SYN005408,47993,2024-03-13,2023-12-31,29446.0,0.20188039122461454,0,1482.0,Financiera Marca,-73,1533,1,0,0,0,0,0,1,0,0.0,0.0,96.0,0,0,0,1,141.0,20295.0,0.0,0.0,52,M,27417.0,0,E,K,Mid,1,193.0,NORTE
SYN005075,18621,2024-03-01,2023-12-31,23913.0,0.19174173043950987,0,1399.0,Financiera Marca,-61,1521,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0,0,0,1,1049.0,20295.0,0.0,0.0,58,M,23468.0,0,E,I,High,0,106.0,CENTRO
SYN009578,40850,2024-03-12,2023-12-31,16573.0,0.061043866529898023,0,1095.0,Financiera Marca,-72,1532,1,1,1,0,0,0,1,0,0.0,0.0,117.0,0,0,0,1,1577.0,20295.0,0.0,0.0,30,M,22943.0,0,H,I,Mid-High,0,117.0,ESTE
SYN002529,78888,2024-03-27,2023-12-31,30330.0,0.20501252884932408,0,1439.0,Financiera Marca,-87,1547,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0,0,0,1,499.0,20295.0,0.0,0.0,39,M,29845.0,0,C,B,Mid-High,0,71.0,CENTRO
SYN005874,86133,2024-01-04,2023-12-31,19472.0,0.0542347986852917,0,2232.0,Otros,-4,1464,1,0,0,0,0,0,1,0,0.0,0.0,135.0,0,0,0,1,84.0,20295.0,0.0,0.0,41,M,37269.0,0,A,B,Mid,0,85.0,ESTE
SYN002736,70434,2024-03-14,2023-12-31,23535.0,0.07976673040152964,0,2149.0,Financiera Marca,-74,1534,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0,0,0,2,1068.0,27510.5,990.0,0.0,49,M,37509.0,0,A,B,Mid-High,0,85.0,ESTE
SYN005062,72111,2024-03-21,2023-12-31,28405.0,0.23007146629114594,0,620.0,Contado,-81,1541,1,0,0,0,1,0,1,0,0.0,0.0,134.0,0,0,0,2,199.0,24800.0,80.0,0.0,26,F,0.0,1,Sin_dato,D,Mid-High,0,106.0,CENTRO
SYN005121,68934,2024-02-21,2023-12-31,34808.0,-0.22493622155826246,1,705.0,Contado,-52,1512,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,1,499.0,21553.0,0.0,0.0,60,M,24769.0,0,E,I,High,0,117.0,SUR
SYN005892,59708,2024-03-16,2023-12-31,30330.0,0.21836564457632707,0,1034.0,Contado,-76,1536,1,1,0,0,0,0,1,0,0.0,0.0,96.0,0,0,0,2,1749.0,25396.5,1123.0,0.0,44,M,0.0,1,Sin_dato,B,Mid-High,0,106.0,CENTRO
SYN002432,12977,2024-02-15,2023-12-31,23465.0,-0.033576816535265286,1,1094.0,Contado,-46,1506,1,0,0,0,0,0,1,0,0.0,0.0,119.0,0,0,0,2,557.0,21112.0,366.0,0.0,35,F,25704.0,0,H,C,Low,0,78.0,ESTE
SYN007380,78157,2024-03-15,2023-12-31,34808.0,-0.22493622155826246,1,705.0,Contado,-75,1535,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,2,1818.0,25568.5,804.0,0.0,40,M,23775.0,0,G,D,Low,0,89.0,ESTE
SYN007504,98134,2024-01-09,2023-12-31,24750.0,-0.0692290909090909,1,2050.0,Contado,-9,1469,1,0,0,0,0,0,1,0,0.0,0.0,145.0,0,0,0,2,1572.0,23533.5,869.0,0.0,37,M,33469.0,0,D,I,Mid,0,106.0,CENTRO
SYN002540,44493,2024-02-07,2023-12-31,24465.0,0.14098875945227876,0,746.0,Contado,-38,1498,1,1,0,0,1,0,1,0,0.0,0.0,0.0,0,0,0,2,1007.0,27008.0,357.0,0.0,31,M,0.0,1,Sin_dato,I,Mid-High,0,106.0,SUR
SYN008821,1509,2024-01-20,2023-12-31,26448.0,0.21646211433756804,0,920.0,Otros,-20,1480,1,0,0,0,0,0,1,0,0.0,0.0,85.0,0,0,0,1,1718.0,21553.0,0.0,0.0,31,M,28042.0,0,C,C,Low,0,78.0,CENTRO
SYN009746,60342,2024-01-22,2023-12-31,13056.0,-0.030977328431372547,1,2011.0,Contado,-22,1482,1,1,0,0,0,0,1,0,0.0,0.0,18.0,0,1,0,1,48.0,21814.0,0.0,0.0,44,M,25045.0,0,G,I,Mid-High,0,106.0,SUR
SYN003444,94281,2024-03-19,2023-12-31,19099.0,0.07996701397978952,0,1693.0,Otros,-79,1539,1,0,0,0,0,0,1,0,0.0,0.0,81.0,0,0,0,2,1558.0,24048.0,946.0,0.0,35,Desconocido,27507.0,0,G,D,Mid,0,120.0,NORTE
SYN006590,47477,2024-03-26,2023-12-31,17247.0,0.11415202643938076,0,915.0,Otros,-86,1546,1,0,0,0,0,0,1,0,0.0,0.0,55.0,0,0,0,1,665.0,22179.0,0.0,0.0,53,M,32083.0,0,E,A,Mid-High,0,61.0,CENTRO
SYN004342,39720,2024-02-20,2023-12-31,12656.0,0.04762010113780025,0,947.0,Contado,-51,1511,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,1,1027.0,22353.0,0.0,0.0,41,M,27895.0,0,D,I,High,0,106.0,CENTRO
SYN004777,58788,2024-01-05,2023-12-31,14814.0,0.04573714054272985,0,1179.0,Financiera Marca,-5,1465,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0,1,0,3,1783.0,23215.666666666668,563.5,753.0687219636732,51,M,26642.0,0,I,B,Mid-High,0,85.0,SUR
SYN001700,31061,2024-01-09,2023-12-31,16683.0,0.062237007732422224,0,1743.0,Contado,-9,1469,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,1,163.0,22353.0,0.0,0.0,52,F,28623.0,0,B,D,High,0,106.0,CENTRO
SYN003754,15241,2024-02-06,2023-12-31,28287.0,0.21530809205642168,0,1034.0,Otros,-37,1497,1,0,0,1,0,0,1,0,0.0,0.0,96.0,0,0,0,1,131.0,22353.0,0.0,0.0,35,M,28139.0,0,C,B,Mid-High,0,85.0,CENTRO
SYN008341,53592,2024-01-25,2023-12-31,28405.0,0.20095687378982574,0,1447.0,Contado,-25,1485,1,0,0,0,1,0,1,0,0.0,0.0,11.0,0,0,0,2,524.0,21209.5,95.0,0.0,34,M,20549.0,0,K,A,Low,0,53.0,CENTRO
SYN009060,53592,2024-03-27,2023-12-31,25255.0,-0.09314828746782815,1,2701.0,Contado,-87,1547,1,0,0,0,1,0,1,0,0.0,0.0,0.0,0,1,0,3,586.0,23608.0,262.0,236.17366491630688,34,M,20549.0,0,K,B,Mid-High,0,71.0,CENTRO
SYN008909,64414,2024-02-03,2023-12-31,17118.0,0.07987732211706974,0,1493.0,Contado,-34,1494,1,1,0,0,0,0,1,0,0.0,0.0,237.0,0,0,0,2,2044.0,22171.5,1443.0,0.0,32,M,28773.0,0,C,B,Mid-High,0,106.0,CENTRO
SYN009181,33787,2024-03-02,2023-12-31,27003.0,0.21314965003888459,0,1034.0,Contado,-62,1522,1,0,0,0,0,0,1,0,0.0,0.0,152.0,0,0,0,2,706.0,20065.5,161.0,0.0,48,M,27706.0,0,F,B,Mid,0,106.0,NORTE
SYN005567,73123,2024-02-17,2023-12-31,20357.0,0.0995662425701233,0,1422.0,Financiera Marca,-48,1508,1,0,0,0,0,0,1,0,0.0,0.0,97.0,0,0,0,2,1867.0,21799.5,1572.0,0.0,55,M,29023.0,0,B,I,Mid,1,136.0,NORTE
SYN006806,19378,2024-01-07,2023-12-31,19994.0,0.12423276983094927,0,899.0,Otros,-7,1467,1,0,0,0,0,0,1,0,0.0,0.0,168.0,0,0,0,2,602.0,26524.5,422.0,0.0,41,F,27420.0,0,E,B,Mid-High,0,85.0,CENTRO
SYN005949,96425,2024-02-18,2023-12-31,30330.0,0.21836564457632707,0,1034.0,Contado,-49,1509,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0,1,0,3,1658.0,27918.666666666668,284.5,313.2483040656405,53,F,28454.0,0,G,C,Mid-High,0,78.0,CENTRO
SYN004091,66547,2024-02-01,2023-12-31,22875.0,0.05134644808743169,0,744.0,Otros,-32,1492,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,2,1972.0,24599.5,1009.0,0.0,33,M,27357.0,0,C,I,High,0,106.0,SUR
SYN001426,53386,2024-02-06,2023-12-31,22875.0,0.05134644808743169,0,744.0,Otros,-37,1497,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,3,1690.0,19229.666666666668,548.5,306.1772362537751,46,M,0.0,1,K,I,Mid-High,0,106.0,CENTRO
SYN003589,39154,2024-01-09,2023-12-31,30330.0,0.20230893504780745,0,1521.0,Financiera Marca,-9,1469,1,1,1,0,0,0,1,0,0.0,0.0,93.0,0,0,0,1,513.0,24004.0,0.0,0.0,59,M,28866.0,0,D,B,Mid,0,106.0,ESTE
SYN009088,28959,2024-03-24,2023-12-31,18719.0,0.06465302633687697,0,1941.0,Otros,-84,1544,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0,1,0,2,2071.0,21956.5,1155.0,0.0,33,M,0.0,1,I,B,Mid-High,0,85.0,CENTRO
SYN008374,17799,2024-02-24,2023-12-31,32990.0,-0.20507790239466506,1,0.0,Contado,-55,1515,1,0,0,0,0,0,1,0,0.0,0.0,85.0,0,0,0,1,545.0,24004.0,0.0,0.0,52,M,25782.0,0,H,B,Mid-High,0,77.0,CENTRO
SYN007451,15980,2024-03-10,2023-12-31,21990.0,0.1294488403819918,0,899.0,Contado,-70,1530,1,0,0,0,0,0,1,0,0.0,0.0,99.0,0,0,0,1,1727.0,24004.0,0.0,0.0,33,M,30046.0,0,D,I,Mid-High,0,106.0,SUR
SYN001054,61524,2024-02-24,2023-12-31,25308.0,0.2115457562825984,0,994.0,Contado,-55,1515,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,1,164.0,24004.0,0.0,0.0,43,M,0.0,1,Sin_dato,I,High,0,106.0,CENTRO
SYN008532,32405,2024-02-06,2023-12-31,19472.0,0.0542347986852917,0,2232.0,Contado,-37,1497,1,0,0,0,1,0,1,0,0.0,0.0,84.0,0,0,0,1,1113.0,24004.0,0.0,0.0,59,M,33356.0,0,E,C,Mid-High,0,78.0,ESTE
SYN001422,13462,2024-02-03,2023-12-31,28667.0,0.19892175672375903,0,1521.0,Financiera Marca,-34,1494,1,1,1,0,0,0,1,0,0.0,0.0,95.0,0,0,0,2,1466.0,26335.5,316.0,0.0,47,F,28256.0,0,G,I,High,1,106.0,CENTRO
SYN002609,80092,2024-01-06,2023-12-31,12671.0,0.12247020756057138,0,0.0,Otros,-6,1466,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0,1,0,2,1791.0,24291.5,778.0,0.0,44,M,33461.0,0,A,D,Mid,0,115.0,ESTE
SYN006012,81716,2024-01-21,2023-12-31,34448.0,-0.20475731537389688,1,0.0,Contado,-21,1481,1,0,0,0,1,0,1,0,0.0,0.0,166.0,0,0,0,2,653.0,23201.5,329.0,0.0,48,F,30134.0,0,D,I,Mid-High,0,106.0,ESTE
SYN007224,43003,2024-02-17,2023-12-31,19099.0,0.10352845698727682,0,1243.0,Contado,-48,1508,1,0,0,0,0,0,1,0,0.0,0.0,136.0,0,0,0,2,843.0,24946.0,119.0,0.0,36,F,27681.0,0,D,I,High,0,106.0,NORTE
SYN006805,34381,2024-01-06,2023-12-31,30330.0,0.20230893504780745,0,1521.0,Financiera Marca,-6,1466,1,1,1,0,0,0,1,0,0.0,0.0,68.0,0,0,0,1,1950.0,24004.0,0.0,0.0,41,M,24767.0,0,H,D,Low,0,89.0,CENTRO
SYN009158,46381,2024-03-28,2023-12-31,25514.0,0.21194246296151134,0,994.0,Otros,-88,1548,1,0,0,0,0,0,1,0,0.0,0.0,97.0,0,0,0,1,1937.0,24004.0,0.0,0.0,29,M,23780.0,0,D,I,Mid-High,0,117.0,CENTRO
SYN006282,69981,2024-02-07,2023-12-31,27246.0,-0.015902150774425604,1,829.0,Contado,-38,1498,1,0,0,0,0,0,1,0,0.0,0.0,89.0,0,0,0,1,1045.0,24191.0,0.0,0.0,41,F,27283.0,0,G,A,Mid-High,0,48.0,CENTRO
SYN000526,43659,2024-03-05,2023-12-31,23423.0,0.18675575289245613,0,1482.0,Financiera Marca,-65,1525,1,1,1,0,0,0,1,0,0.0,0.0,93.0,0,0,0,2,1699.0,27126.0,1635.0,0.0,31,F,26707.0,0,E,I,Mid,1,136.0,ESTE
SYN009666,43659,2024-01-01,2023-12-31,29956.0,0.01535451996261183,0,0.0,Contado,-1,1461,1,1,0,0,0,0,1,0,0.0,0.0,12.0,0,0,0,1,1635.0,24296.0,0.0,0.0,31,F,26707.0,0,E,B,Mid,0,74.0,ESTE
SYN005161,54987,2024-02-16,2023-12-31,28667.0,0.21590993127986882,0,1034.0,Contado,-47,1507,1,1,0,0,0,0,1,0,0.0,0.0,116.0,0,0,0,1,256.0,24862.0,0.0,0.0,32,M,25158.0,0,C,A,Low,0,53.0,CENTRO
SYN000581,41839,2024-02-27,2023-12-31,13056.0,-0.04016850490196079,1,2131.0,Financiera Marca,-58,1518,1,1,1,0,0,0,1,0,0.0,0.0,8.0,0,0,0,1,673.0,24862.0,0.0,0.0,38,M,24029.0,0,H,I,High,0,117.0,CENTRO
SYN009674,79381,2024-01-01,2023-12-31,21990.0,0.11344156434743065,0,1251.0,Contado,-1,1461,1,1,1,0,0,0,1,0,0.0,0.0,13.0,0,0,0,2,751.0,25204.5,97.0,0.0,34,M,28085.0,0,B,B,High,0,74.0,CENTRO
SYN007888,9258,2024-02-25,2023-12-31,25569.0,0.12018029645273573,0,1323.0,Contado,-56,1516,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,2,1925.0,22934.0,1759.0,0.0,51,F,21332.0,0,Sin_dato,E,Mid,0,89.0,SUR
SYN002071,27533,2024-01-26,2023-12-31,20982.0,0.05606853493470594,0,2386.0,Contado,-26,1486,1,1,0,0,0,0,1,0,0.0,0.0,67.0,0,0,0,1,982.0,25874.0,0.0,0.0,53,M,25723.0,0,H,D,Low,0,99.0,NORTE
SYN006731,12974,2024-01-10,2023-12-31,25255.0,-0.08344723817065927,1,2456.0,Contado,-10,1470,1,0,0,0,0,0,1,0,0.0,0.0,87.0,0,1,0,1,71.0,25874.0,0.0,0.0,56,Desconocido,32095.0,0,C,B,Mid,0,106.0,ESTE
SYN008700,62219,2024-03-29,2023-12-31,27959.0,0.21477556421903501,0,1034.0,Contado,-89,1549,1,1,0,0,0,0,1,0,0.0,0.0,99.0,0,0,0,3,2007.0,28260.333333333332,884.5,632.86056916196,52,Desconocido,25759.0,0,H,D,Low,0,99.0,CENTRO
SYN000330,14897,2024-01-02,2023-12-31,22717.0,0.128832152132764,0,951.0,Financiera Marca,-2,1462,1,1,1,1,0,0,1,0,0.0,0.0,0.0,0,0,0,1,332.0,26448.0,0.0,0.0,59,M,37706.0,0,E,I,Mid,0,106.0,CENTRO
SYN002209,36431,2024-03-27,2023-12-31,28453.0,0.19845710469897726,0,1521.0,Financiera Marca,-87,1547,1,1,1,0,0,0,1,0,0.0,0.0,2.0,0,0,0,1,100.0,26674.0,0.0,0.0,52,M,27287.0,0,G,A,Mid-High,0,48.0,CENTRO
SYN006215,88249,2024-02-29,2023-12-31,19172.0,0.10231326935113708,0,1272.0,Contado,-60,1520,1,1,0,0,0,0,1,0,0.0,0.0,133.0,0,0,0,3,1702.0,22465.333333333332,748.0,1045.1038225937173,33,M,27865.0,0,C,B,Mid-High,0,74.0,NORTE
SYN006460,38825,2024-01-17,2023-12-31,28405.0,0.21950994543214225,0,920.0,Otros,-17,1477,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,1,1577.0,27147.0,0.0,0.0,43,M,17519.0,0,K,B,Mid,0,77.0,NORTE
SYN009029,19499,2024-01-06,2023-12-31,22234.0,-0.07551722587028875,1,1956.0,Contado,-6,1466,1,0,0,0,0,0,1,0,0.0,0.0,14.0,0,0,0,3,1022.0,25720.0,94.5,21.920310216782973,36,M,24475.0,0,E,I,Mid-High,0,117.0,CENTRO
SYN007092,35850,2024-01-30,2023-12-31,27332.0,0.2515531245426606,0,0.0,Contado,-30,1490,1,1,0,0,0,0,1,0,0.0,0.0,145.0,0,0,0,2,2120.0,28738.5,1098.0,0.0,50,M,28530.0,0,D,C,Mid,0,101.0,CENTRO
SYN005882,33771,2024-03-27,2023-12-31,22609.0,-0.059806714140386574,1,1638.0,Contado,-87,1547,1,0,0,0,0,0,1,0,0.0,0.0,179.0,0,1,0,1,198.0,27147.0,0.0,0.0,58,M,27373.0,0,G,I,Mid-High,0,106.0,ESTE
SYN001221,34056,2024-01-18,2023-12-31,13433.0,0.10870021588625028,0,200.0,Contado,-18,1478,1,0,0,0,0,0,1,0,0.0,0.0,12.0,0,0,0,2,1679.0,29074.0,1178.0,0.0,47,M,27175.0,0,C,I,High,1,106.0,CENTRO
SYN008222,7825,2024-03-29,2023-12-31,16683.0,0.09520469939459329,0,1193.0,Contado,-89,1549,1,0,0,0,0,0,1,0,0.0,0.0,12.0,0,0,0,1,1099.0,27147.0,0.0,0.0,44,M,21570.0,0,I,B,Mid,0,74.0,CENTRO
SYN009450,19470,2024-01-08,2023-12-31,22234.0,-0.09746559323558515,1,2444.0,Contado,-8,1468,1,0,0,0,0,0,1,0,0.0,0.0,89.0,0,0,0,1,876.0,27147.0,0.0,0.0,60,M,0.0,1,H,B,Mid-High,0,85.0,ESTE
SYN001509,42557,2024-01-05,2023-12-31,12581.0,0.05134885939114538,0,893.0,Contado,-5,1465,1,1,0,0,0,0,1,0,0.0,0.0,91.0,0,0,0,1,2109.0,27147.0,0.0,0.0,46,M,30049.0,0,D,B,Mid,0,81.0,ESTE
SYN007469,46724,2024-03-01,2023-12-31,18719.0,0.1019413430204605,0,1243.0,Contado,-61,1521,1,0,0,0,0,0,1,0,0.0,0.0,96.0,0,0,0,2,1888.0,23606.5,991.0,0.0,38,M,0.0,1,Sin_dato,A,Mid-High,0,48.0,ESTE
SYN007032,96095,2024-01-14,2023-12-31,18579.0,0.11603423219764251,0,970.0,Contado,-14,1474,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,2,1788.0,22131.5,1622.0,0.0,57,M,0.0,1,Sin_dato,I,High,1,106.0,CENTRO
SYN006692,68255,2024-02-01,2023-12-31,19976.0,-0.09824639567480976,1,2186.0,Contado,-32,1492,1,0,0,0,0,0,1,0,0.0,0.0,139.0,0,0,0,1,1028.0,27332.0,0.0,0.0,35,M,28581.0,0,D,B,Mid,0,81.0,CENTRO
SYN000088,49039,2024-02-17,2023-12-31,26838.0,0.22828340412847456,0,620.0,Otros,-48,1508,1,1,0,0,0,0,1,0,0.0,0.0,61.0,0,0,0,2,2195.0,20213.0,1631.0,0.0,34,M,25679.0,0,H,I,Mid-High,0,106.0,CENTRO
SYN003982,91231,2024-03-19,2023-12-31,12210.0,0.07889107289107289,0,523.0,Financiera Marca,-79,1539,1,1,0,0,1,0,1,0,0.0,0.0,113.0,0,0,0,3,1650.0,28781.0,754.0,511.9453095790604,42,M,27410.0,0,B,B,Mid-High,0,77.0,CENTRO
