code,pvp,margen_relativo,margen_eur_negativo,coste_venta_no_impuestos,forma_pago,dias_desde_compra,tenure_days,days_last_service,en_garantia,ext_garantia_tiene,ext_garantia_financiera,garantia_dias_restantes,mantenimiento_gratuito,seguro_bateria_largo_plazo,sin_revisiones,revisiones,km_ultima_revision,km_medio_por_revision,encuesta_cliente_zona_taller,tiene_queja,lead_compra,fue_lead,frequency_total,ticket_avg,service_interval_mean_days,service_interval_std_days,edad,genero,renta_media_estimada,renta_desconocida,status_social,modelo,equipamiento,es_electrico,kw,zona
SYN009429,25514.0,0.21194246296151134,0,994.0,Contado,71,1469.0,0,1,1,0,1389,0,0,1,0,0.0,0.0,13.0,0,0,0,2.0,16335.0,1155.0,0.0,41,M,29923.0,0,C,B,High,0,74.0,CENTRO
SYN001579,29446.0,0.20188039122461454,0,1482.0,Financiera Marca,84,315.0,0,1,1,1,1376,0,0,1,0,0.0,0.0,93.0,0,0,0,1.0,14290.0,0.0,0.0,52,F,27228.0,0,G,C,Low,0,78.0,NORTE
SYN009840,17512.0,0.12482469164001826,0,746.0,Otros,6,393.0,0,1,0,0,1454,0,0,1,0,0.0,0.0,0.0,0,0,0,1.0,14290.0,0.0,0.0,52,F,27228.0,0,G,H,Mid,0,85.0,CENTRO
SYN009935,21553.0,0.012100867628636386,0,0.0,Contado,47,1784.0,0,1,1,0,1413,0,0,1,0,0.0,0.0,0.0,0,0,0,1.0,14672.0,0.0,0.0,28,M,29903.0,0,G,B,Mid-High,0,85.0,CENTRO
SYN002972,36771.0,0.22686900002719537,0,994.0,Contado,62,1694.0,0,1,0,0,1398,0,0,1,0,0.0,0.0,9.0,0,0,0,1.0,14672.0,0.0,0.0,32,F,0.0,1,U,I,Mid-High,0,117.0,CENTRO
SYN007177,36771.0,0.21585488564357783,0,1399.0,Financiera Marca,7,654.0,0,1,0,0,1453,1,0,1,0,0.0,0.0,0.0,0,0,0,1.0,14672.0,0.0,0.0,55,F,28142.0,0,B,C,Mid,0,101.0,CENTRO
SYN000164,22948.0,0.18522485619661844,0,1482.0,Financiera Marca,3,1100.0,0,1,1,1,1457,0,0,1,0,0.0,0.0,0.0,0,1,0,1.0,14766.0,0.0,0.0,43,M,26031.0,0,H,H,Mid,0,85.0,ESTE
SYN004170,12656.0,0.02565423514538559,0,1225.0,Contado,10,1093.0,0,1,0,0,1450,0,0,1,0,0.0,0.0,0.0,0,0,0,1.0,14766.0,0.0,0.0,43,M,26031.0,0,H,I,High,1,106.0,ESTE
SYN006371,11004.0,0.1194810977826245,0,0.0,Otros,65,1660.0,0,1,0,0,1395,0,0,1,0,0.0,0.0,94.0,0,0,0,2.0,19328.0,198.0,0.0,53,F,32105.0,0,C,J,Mid,0,183.0,CENTRO
SYN004526,25874.0,0.014037643966916594,0,0.0,Contado,52,1208.0,0,1,1,0,1408,0,0,1,0,0.0,0.0,0.0,0,0,0,1.0,16683.0,0.0,0.0,45,F,27829.0,0,E,D,Mid-High,0,106.0,CENTRO
SYN001570,23293.0,-0.061089597733224574,1,1725.0,Contado,58,1848.0,0,1,0,0,1402,0,0,1,0,0.0,0.0,59.0,0,0,0,2.0,22104.0,1677.0,0.0,28,M,22920.0,0,F,B,Mid,0,77.0,ESTE
SYN009288,26495.0,0.19385733157199472,0,1521.0,Financiera Marca,46,1797.0,0,1,1,1,1414,0,0,1,0,0.0,0.0,11.0,0,0,0,2.0,24481.0,1436.0,0.0,43,F,24819.0,0,D,J,Mid,0,183.0,ESTE
SYN006449,30377.0,-0.0387487243638279,1,1647.0,Contado,39,446.0,0,1,0,0,1421,0,0,1,0,0.0,0.0,13.0,0,0,0,1.0,20295.0,0.0,0.0,59,F,33451.0,0,D,C,Low,0,78.0,ESTE
SYN004598,30330.0,0.21836564457632707,0,1034.0,Contado,63,289.0,0,1,0,0,1397,0,0,1,0,0.0,0.0,9.0,0,0,0,1.0,20295.0,0.0,0.0,61,M,17445.0,0,K,D,Mid,0,120.0,ESTE
SYN001620,33717.0,-0.048578165317199044,1,2187.0,Financiera Marca,30,1395.0,0,1,1,1,1430,1,0,1,0,0.0,0.0,19.0,0,0,0,2.0,15885.0,922.0,0.0,32,F,31263.0,0,E,H,Mid,0,85.0,ESTE
SYN005408,29446.0,0.20188039122461454,0,1482.0,Financiera Marca,18,141.0,0,1,0,0,1442,0,0,1,0,0.0,0.0,96.0,0,0,0,1.0,20295.0,0.0,0.0,52,M,27417.0,0,E,K,Mid,1,193.0,NORTE
SYN005075,23913.0,0.19174173043950987,0,1399.0,Financiera Marca,30,1049.0,0,1,0,0,1430,1,0,1,0,0.0,0.0,0.0,0,0,0,1.0,20295.0,0.0,0.0,58,M,23468.0,0,E,I,High,0,106.0,CENTRO
SYN009578,16573.0,0.061043866529898023,0,1095.0,Financiera Marca,19,1577.0,0,1,1,1,1441,0,0,1,0,0.0,0.0,117.0,0,0,0,1.0,20295.0,0.0,0.0,30,M,22943.0,0,H,I,Mid-High,0,117.0,ESTE
SYN002529,30330.0,0.20501252884932408,0,1439.0,Financiera Marca,4,499.0,0,1,0,0,1456,1,0,1,0,0.0,0.0,0.0,0,0,0,1.0,20295.0,0.0,0.0,39,M,29845.0,0,C,B,Mid-High,0,71.0,CENTRO
SYN005874,19472.0,0.0542347986852917,0,2232.0,Otros,87,84.0,0,1,0,0,1373,0,0,1,0,0.0,0.0,135.0,0,0,0,1.0,20295.0,0.0,0.0,41,M,37269.0,0,A,B,Mid,0,85.0,ESTE
SYN002736,23535.0,0.07976673040152964,0,2149.0,Financiera Marca,17,1068.0,0,1,0,0,1443,1,0,1,0,0.0,0.0,0.0,0,0,0,2.0,27510.5,990.0,0.0,49,M,37509.0,0,A,B,Mid-High,0,85.0,ESTE
SYN005062,28405.0,0.23007146629114594,0,620.0,Contado,10,199.0,0,1,0,0,1450,0,1,1,0,0.0,0.0,134.0,0,0,0,2.0,24800.0,80.0,0.0,26,F,0.0,1,Sin_dato,D,Mid-High,0,106.0,CENTRO
SYN005121,34808.0,-0.22493622155826246,1,705.0,Contado,39,499.0,0,1,0,0,1421,0,0,1,0,0.0,0.0,0.0,0,0,0,1.0,21553.0,0.0,0.0,60,M,24769.0,0,E,I,High,0,117.0,SUR
SYN005892,30330.0,0.21836564457632707,0,1034.0,Contado,15,1749.0,0,1,1,0,1445,0,0,1,0,0.0,0.0,96.0,0,0,0,2.0,25396.5,1123.0,0.0,44,M,0.0,1,Sin_dato,B,Mid-High,0,106.0,CENTRO
SYN002432,23465.0,-0.033576816535265286,1,1094.0,Contado,45,557.0,0,1,0,0,1415,0,0,1,0,0.0,0.0,119.0,0,0,0,2.0,21112.0,366.0,0.0,35,F,25704.0,0,H,C,Low,0,78.0,ESTE
SYN007380,34808.0,-0.22493622155826246,1,705.0,Contado,16,1818.0,0,1,1,0,1444,0,0,1,0,0.0,0.0,0.0,0,0,0,2.0,25568.5,804.0,0.0,40,M,23775.0,0,G,D,Low,0,89.0,ESTE
SYN007504,24750.0,-0.0692290909090909,1,2050.0,Contado,82,1572.0,0,1,0,0,1378,0,0,1,0,0.0,0.0,145.0,0,0,0,2.0,23533.5,869.0,0.0,37,M,33469.0,0,D,I,Mid,0,106.0,CENTRO
SYN002540,24465.0,0.14098875945227876,0,746.0,Contado,53,1007.0,0,1,1,0,1407,0,1,1,0,0.0,0.0,0.0,0,0,0,2.0,27008.0,357.0,0.0,31,M,0.0,1,Sin_dato,I,Mid-High,0,106.0,SUR
SYN008821,26448.0,0.21646211433756804,0,920.0,Otros,71,1718.0,0,1,0,0,1389,0,0,1,0,0.0,0.0,85.0,0,0,0,1.0,21553.0,0.0,0.0,31,M,28042.0,0,C,C,Low,0,78.0,CENTRO
SYN009746,13056.0,-0.030977328431372547,1,2011.0,Contado,69,48.0,0,1,1,0,1391,0,0,1,0,0.0,0.0,18.0,0,1,0,1.0,21814.0,0.0,0.0,44,M,25045.0,0,G,I,Mid-High,0,106.0,SUR
SYN003444,19099.0,0.07996701397978952,0,1693.0,Otros,12,1558.0,0,1,0,0,1448,0,0,1,0,0.0,0.0,81.0,0,0,0,2.0,24048.0,946.0,0.0,35,Desconocido,27507.0,0,G,D,Mid,0,120.0,NORTE
SYN006590,17247.0,0.11415202643938076,0,915.0,Otros,5,665.0,0,1,0,0,1455,0,0,1,0,0.0,0.0,55.0,0,0,0,1.0,22179.0,0.0,0.0,53,M,32083.0,0,E,A,Mid-High,0,61.0,CENTRO
SYN004342,12656.0,0.04762010113780025,0,947.0,Contado,40,1027.0,0,1,0,0,1420,0,0,1,0,0.0,0.0,0.0,0,0,0,1.0,22353.0,0.0,0.0,41,M,27895.0,0,D,I,High,0,106.0,CENTRO
SYN004777,14814.0,0.04573714054272985,0,1179.0,Financiera Marca,86,1783.0,0,1,0,0,1374,1,0,1,0,0.0,0.0,0.0,0,1,0,3.0,23215.666666666668,563.5,753.0687219636732,51,M,26642.0,0,I,B,Mid-High,0,85.0,SUR
SYN001700,16683.0,0.062237007732422224,0,1743.0,Contado,82,163.0,0,1,0,0,1378,0,0,1,0,0.0,0.0,0.0,0,0,0,1.0,22353.0,0.0,0.0,52,F,28623.0,0,B,D,High,0,106.0,CENTRO
SYN003754,28287.0,0.21530809205642168,0,1034.0,Otros,54,131.0,0,1,0,0,1406,1,0,1,0,0.0,0.0,96.0,0,0,0,1.0,22353.0,0.0,0.0,35,M,28139.0,0,C,B,Mid-High,0,85.0,CENTRO
SYN008341,28405.0,0.20095687378982574,0,1447.0,Contado,66,524.0,0,1,0,0,1394,0,1,1,0,0.0,0.0,11.0,0,0,0,2.0,21209.5,95.0,0.0,34,M,20549.0,0,K,A,Low,0,53.0,CENTRO
SYN009060,25255.0,-0.09314828746782815,1,2701.0,Contado,4,586.0,0,1,0,0,1456,0,1,1,0,0.0,0.0,0.0,0,1,0,2.0,21209.5,95.0,0.0,34,M,20549.0,0,K,B,Mid-High,0,71.0,CENTRO
SYN008909,17118.0,0.07987732211706974,0,1493.0,Contado,57,2044.0,0,1,1,0,1403,0,0,1,0,0.0,0.0,237.0,0,0,0,2.0,22171.5,1443.0,0.0,32,M,28773.0,0,C,B,Mid-High,0,106.0,CENTRO
SYN009181,27003.0,0.21314965003888459,0,1034.0,Contado,29,706.0,0,1,0,0,1431,0,0,1,0,0.0,0.0,152.0,0,0,0,2.0,20065.5,161.0,0.0,48,M,27706.0,0,F,B,Mid,0,106.0,NORTE
SYN005567,20357.0,0.0995662425701233,0,1422.0,Financiera Marca,43,1867.0,0,1,0,0,1417,0,0,1,0,0.0,0.0,97.0,0,0,0,2.0,21799.5,1572.0,0.0,55,M,29023.0,0,B,I,Mid,1,136.0,NORTE
SYN006806,19994.0,0.12423276983094927,0,899.0,Otros,84,602.0,0,1,0,0,1376,0,0,1,0,0.0,0.0,168.0,0,0,0,2.0,26524.5,422.0,0.0,41,F,27420.0,0,E,B,Mid-High,0,85.0,CENTRO
SYN005949,30330.0,0.21836564457632707,0,1034.0,Contado,42,1658.0,0,1,0,0,1418,0,0,1,0,0.0,0.0,0.0,0,1,0,3.0,27918.666666666668,284.5,313.2483040656405,53,F,28454.0,0,G,C,Mid-High,0,78.0,CENTRO
SYN004091,22875.0,0.05134644808743169,0,744.0,Otros,59,1972.0,0,1,0,0,1401,0,0,1,0,0.0,0.0,0.0,0,0,0,2.0,24599.5,1009.0,0.0,33,M,27357.0,0,C,I,High,0,106.0,SUR
SYN001426,22875.0,0.05134644808743169,0,744.0,Otros,54,1690.0,0,1,0,0,1406,0,0,1,0,0.0,0.0,0.0,0,0,0,3.0,19229.666666666668,548.5,306.1772362537751,46,M,0.0,1,K,I,Mid-High,0,106.0,CENTRO
SYN003589,30330.0,0.20230893504780745,0,1521.0,Financiera Marca,82,513.0,0,1,1,1,1378,0,0,1,0,0.0,0.0,93.0,0,0,0,1.0,24004.0,0.0,0.0,59,M,28866.0,0,D,B,Mid,0,106.0,ESTE
SYN009088,18719.0,0.06465302633687697,0,1941.0,Otros,7,2071.0,0,1,0,0,1453,0,0,1,0,0.0,0.0,0.0,0,1,0,2.0,21956.5,1155.0,0.0,33,M,0.0,1,I,B,Mid-High,0,85.0,CENTRO
SYN008374,32990.0,-0.20507790239466506,1,0.0,Contado,36,545.0,0,1,0,0,1424,0,0,1,0,0.0,0.0,85.0,0,0,0,1.0,24004.0,0.0,0.0,52,M,25782.0,0,H,B,Mid-High,0,77.0,CENTRO
SYN007451,21990.0,0.1294488403819918,0,899.0,Contado,21,1727.0,0,1,0,0,1439,0,0,1,0,0.0,0.0,99.0,0,0,0,1.0,24004.0,0.0,0.0,33,M,30046.0,0,D,I,Mid-High,0,106.0,SUR
SYN001054,25308.0,0.2115457562825984,0,994.0,Contado,36,164.0,0,1,0,0,1424,0,0,1,0,0.0,0.0,0.0,0,0,0,1.0,24004.0,0.0,0.0,43,M,0.0,1,Sin_dato,I,High,0,106.0,CENTRO
SYN008532,19472.0,0.0542347986852917,0,2232.0,Contado,54,1113.0,0,1,0,0,1406,0,1,1,0,0.0,0.0,84.0,0,0,0,1.0,24004.0,0.0,0.0,59,M,33356.0,0,E,C,Mid-High,0,78.0,ESTE
SYN001422,28667.0,0.19892175672375903,0,1521.0,Financiera Marca,57,1466.0,0,1,1,1,1403,0,0,1,0,0.0,0.0,95.0,0,0,0,2.0,26335.5,316.0,0.0,47,F,28256.0,0,G,I,High,1,106.0,CENTRO
SYN002609,12671.0,0.12247020756057138,0,0.0,Otros,85,1791.0,0,1,1,0,1375,0,0,1,0,0.0,0.0,0.0,0,1,0,2.0,24291.5,778.0,0.0,44,M,33461.0,0,A,D,Mid,0,115.0,ESTE
SYN006012,34448.0,-0.20475731537389688,1,0.0,Contado,70,653.0,0,1,0,0,1390,0,1,1,0,0.0,0.0,166.0,0,0,0,2.0,23201.5,329.0,0.0,48,F,30134.0,0,D,I,Mid-High,0,106.0,ESTE
SYN007224,19099.0,0.10352845698727682,0,1243.0,Contado,43,843.0,0,1,0,0,1417,0,0,1,0,0.0,0.0,136.0,0,0,0,2.0,24946.0,119.0,0.0,36,F,27681.0,0,D,I,High,0,106.0,NORTE
SYN006805,30330.0,0.20230893504780745,0,1521.0,Financiera Marca,85,1950.0,0,1,1,1,1375,0,0,1,0,0.0,0.0,68.0,0,0,0,1.0,24004.0,0.0,0.0,41,M,24767.0,0,H,D,Low,0,89.0,CENTRO
SYN009158,25514.0,0.21194246296151134,0,994.0,Otros,3,1937.0,0,1,0,0,1457,0,0,1,0,0.0,0.0,97.0,0,0,0,1.0,24004.0,0.0,0.0,29,M,23780.0,0,D,I,Mid-High,0,117.0,CENTRO
SYN006282,27246.0,-0.015902150774425604,1,829.0,Contado,53,1045.0,0,1,0,0,1407,0,0,1,0,0.0,0.0,89.0,0,0,0,1.0,24191.0,0.0,0.0,41,F,27283.0,0,G,A,Mid-High,0,48.0,CENTRO
SYN000526,23423.0,0.18675575289245613,0,1482.0,Financiera Marca,26,1699.0,0,1,1,1,1434,0,0,1,0,0.0,0.0,93.0,0,0,0,1.0,24296.0,0.0,0.0,31,F,26707.0,0,E,I,Mid,1,136.0,ESTE
SYN009666,29956.0,0.01535451996261183,0,0.0,Contado,90,1635.0,0,1,1,0,1370,0,0,1,0,0.0,0.0,12.0,0,0,0,1.0,24296.0,0.0,0.0,31,F,26707.0,0,E,B,Mid,0,74.0,ESTE
SYN005161,28667.0,0.21590993127986882,0,1034.0,Contado,44,256.0,0,1,1,0,1416,0,0,1,0,0.0,0.0,116.0,0,0,0,1.0,24862.0,0.0,0.0,32,M,25158.0,0,C,A,Low,0,53.0,CENTRO
SYN000581,13056.0,-0.04016850490196079,1,2131.0,Financiera Marca,33,673.0,0,1,1,1,1427,0,0,1,0,0.0,0.0,8.0,0,0,0,1.0,24862.0,0.0,0.0,38,M,24029.0,0,H,I,High,0,117.0,CENTRO
SYN009674,21990.0,0.11344156434743065,0,1251.0,Contado,90,751.0,0,1,1,1,1370,0,0,1,0,0.0,0.0,13.0,0,0,0,2.0,25204.5,97.0,0.0,34,M,28085.0,0,B,B,High,0,74.0,CENTRO
SYN007888,25569.0,0.12018029645273573,0,1323.0,Contado,35,1925.0,0,1,0,0,1425,0,0,1,0,0.0,0.0,0.0,0,0,0,2.0,22934.0,1759.0,0.0,51,F,21332.0,0,Sin_dato,E,Mid,0,89.0,SUR
SYN002071,20982.0,0.05606853493470594,0,2386.0,Contado,65,982.0,0,1,1,0,1395,0,0,1,0,0.0,0.0,67.0,0,0,0,1.0,25874.0,0.0,0.0,53,M,25723.0,0,H,D,Low,0,99.0,NORTE
SYN006731,25255.0,-0.08344723817065927,1,2456.0,Contado,81,71.0,0,1,0,0,1379,0,0,1,0,0.0,0.0,87.0,0,1,0,1.0,25874.0,0.0,0.0,56,Desconocido,32095.0,0,C,B,Mid,0,106.0,ESTE
SYN008700,27959.0,0.21477556421903501,0,1034.0,Contado,2,2007.0,0,1,1,0,1458,0,0,1,0,0.0,0.0,99.0,0,0,0,3.0,28260.333333333332,884.5,632.86056916196,52,Desconocido,25759.0,0,H,D,Low,0,99.0,CENTRO
SYN000330,22717.0,0.128832152132764,0,951.0,Financiera Marca,89,332.0,0,1,1,1,1371,1,0,1,0,0.0,0.0,0.0,0,0,0,1.0,26448.0,0.0,0.0,59,M,37706.0,0,E,I,Mid,0,106.0,CENTRO
SYN002209,28453.0,0.19845710469897726,0,1521.0,Financiera Marca,4,100.0,0,1,1,1,1456,0,0,1,0,0.0,0.0,2.0,0,0,0,1.0,26674.0,0.0,0.0,52,M,27287.0,0,G,A,Mid-High,0,48.0,CENTRO
SYN006215,19172.0,0.10231326935113708,0,1272.0,Contado,31,1702.0,0,1,1,0,1429,0,0,1,0,0.0,0.0,133.0,0,0,0,3.0,22465.333333333332,748.0,1045.1038225937173,33,M,27865.0,0,C,B,Mid-High,0,74.0,NORTE
SYN006460,28405.0,0.21950994543214225,0,920.0,Otros,74,1577.0,0,1,1,0,1386,0,0,1,0,0.0,0.0,0.0,0,0,0,1.0,27147.0,0.0,0.0,43,M,17519.0,0,K,B,Mid,0,77.0,NORTE
SYN009029,22234.0,-0.07551722587028875,1,1956.0,Contado,85,1022.0,0,1,0,0,1375,0,0,1,0,0.0,0.0,14.0,0,0,0,3.0,25720.0,94.5,21.920310216782973,36,M,24475.0,0,E,I,Mid-High,0,117.0,CENTRO
SYN007092,27332.0,0.2515531245426606,0,0.0,Contado,61,2120.0,0,1,1,0,1399,0,0,1,0,0.0,0.0,145.0,0,0,0,2.0,28738.5,1098.0,0.0,50,M,28530.0,0,D,C,Mid,0,101.0,CENTRO
SYN005882,22609.0,-0.059806714140386574,1,1638.0,Contado,4,198.0,0,1,0,0,1456,0,0,1,0,0.0,0.0,179.0,0,1,0,1.0,27147.0,0.0,0.0,58,M,27373.0,0,G,I,Mid-High,0,106.0,ESTE
SYN001221,13433.0,0.10870021588625028,0,200.0,Contado,73,1679.0,0,1,0,0,1387,0,0,1,0,0.0,0.0,12.0,0,0,0,2.0,29074.0,1178.0,0.0,47,M,27175.0,0,C,I,High,1,106.0,CENTRO
SYN008222,16683.0,0.09520469939459329,0,1193.0,Contado,2,1099.0,0,1,0,0,1458,0,0,1,0,0.0,0.0,12.0,0,0,0,1.0,27147.0,0.0,0.0,44,M,21570.0,0,I,B,Mid,0,74.0,CENTRO
SYN009450,22234.0,-0.09746559323558515,1,2444.0,Contado,83,876.0,0,1,0,0,1377,0,0,1,0,0.0,0.0,89.0,0,0,0,1.0,27147.0,0.0,0.0,60,M,0.0,1,H,B,Mid-High,0,85.0,ESTE
SYN001509,12581.0,0.05134885939114538,0,893.0,Contado,86,2109.0,0,1,1,0,1374,0,0,1,0,0.0,0.0,91.0,0,0,0,1.0,27147.0,0.0,0.0,46,M,30049.0,0,D,B,Mid,0,81.0,ESTE
SYN007469,18719.0,0.1019413430204605,0,1243.0,Contado,30,1888.0,0,1,0,0,1430,0,0,1,0,0.0,0.0,96.0,0,0,0,2.0,23606.5,991.0,0.0,38,M,0.0,1,Sin_dato,A,Mid-High,0,48.0,ESTE
SYN007032,18579.0,0.11603423219764251,0,970.0,Contado,77,1788.0,0,1,0,0,1383,0,0,1,0,0.0,0.0,0.0,0,0,0,2.0,22131.5,1622.0,0.0,57,M,0.0,1,Sin_dato,I,High,1,106.0,CENTRO
SYN006692,19976.0,-0.09824639567480976,1,2186.0,Contado,59,1028.0,0,1,0,0,1401,0,0,1,0,0.0,0.0,139.0,0,0,0,1.0,27332.0,0.0,0.0,35,M,28581.0,0,D,B,Mid,0,81.0,CENTRO
SYN000088,26838.0,0.22828340412847456,0,620.0,Otros,43,2195.0,0,1,1,0,1417,0,0,1,0,0.0,0.0,61.0,0,0,0,2.0,20213.0,1631.0,0.0,34,M,25679.0,0,H,I,Mid-High,0,106.0,CENTRO
SYN003982,12210.0,0.07889107289107289,0,523.0,Financiera Marca,12,1650.0,0,1,1,0,1448,0,1,1,0,0.0,0.0,113.0,0,0,0,3.0,28781.0,754.0,511.9453095790604,42,M,27410.0,0,B,B,Mid-High,0,77.0,CENTRO
SYN006097,28287.0,0.19809170290239334,0,1521.0,Financiera Marca,2,1652.0,0,1,1,1,1458,0,0,1,0,0.0,0.0,87.0,0,0,0,1.0,27383.0,0.0,0.0,44,M,28974.0,0,D,B,Mid-High,0,85.0,CENTRO
SYN002822,19994.0,0.08312043613083926,0,1721.0,Financiera Marca,47,1894.0,0,1,1,1,1413,0,0,1,0,0.0,0.0,175.0,0,1,0,1.0,27822.0,0.0,0.0,52,M,33659.0,0,C,D,Low,0,86.0,SUR
SYN006798,20671.0,0.03282908422427556,0,1031.0,Financiera Marca,78,1940.0,0,1,0,0,1382,1,0,1,0,0.0,0.0,119.0,0,0,0,2.0,28157.0,1718.0,0.0,27,M,27164.0,0,B,I,Mid-High,0,106.0,NORTE
SYN000821,28667.0,0.21590993127986882,0,1034.0,Contado,63,2131.0,0,1,0,0,1397,0,0,1,0,0.0,0.0,15.0,0,0,0,2.0,25657.0,1655.0,0.0,30,M,34557.0,0,E,C,Mid-High,0,78.0,ESTE
SYN009087,25335.0,0.04423761594631932,0,1031.0,Financiera Marca,43,819.0,0,1,1,0,1417,1,0,1,0,0.0,0.0,134.0,0,0,0,3.0,22081.333333333332,338.5,154.8563850798539,30,F,26561.0,0,U,I,Mid-High,0,106.0,CENTRO
SYN004909,24004.0,-0.0005461589735044159,1,332.0,Contado,33,1678.0,0,1,0,0,1427,0,0,1,0,0.0,0.0,0.0,0,0,0,1.0,28005.0,0.0,0.0,27,F,25982.0,0,C,I,Mid,0,106.0,ESTE
SYN000182,18299.0,0.03360456855565878,0,2460.0,Contado,54,2221.0,0,1,0,0,1406,0,0,1,0,0.0,0.0,17.0,0,0,0,1.0,28161.0,0.0,0.0,35,F,33861.0,0,A,B,Mid-High,0,106.0,SUR
SYN002438,18854.0,0.09307149676461228,0,1421.0,Financiera Marca,13,1096.0,0,1,1,1,1447,0,0,1,0,0.0,0.0,141.0,0,0,0,2.0,23727.5,767.0,0.0,40,M,26106.0,0,G,I,Mid-High,0,106.0,ESTE
SYN003013,23496.0,-0.12228209056860742,1,3180.0,Otros,43,1743.0,0,1,1,0,1417,0,0,1,0,0.0,0.0,0.0,0,0,0,2.0,25121.0,626.0,0.0,53,M,0.0,1,Sin_dato,A,Low,0,53.0,ESTE
SYN007556,16098.0,0.08020499440924339,0,748.0,Contado,62,887.0,0,1,0,0,1398,0,0,1,0,0.0,0.0,13.0,0,0,0,3.0,25426.333333333332,292.5,221.32442251138937,46,M,26792.0,0,D,D,Mid,0,99.0,ESTE
SYN002992,22948.0,0.20649032595433153,0,994.0,Financiera Marca,88,1086.0,0,1,1,1,1372,1,0,1,0,0.0,0.0,127.0,0,0,0,4.0,22332.0,353.0,178.06459502102038,50,M,34513.0,0,D,C,Low,0,78.0,CENTRO
SYN002760,19976.0,0.06080496595915098,0,2165.0,Prestamo Bancario,56,151.0,0,1,0,0,1404,0,0,1,0,0.0,0.0,48.0,0,0,0,1.0,28405.0,0.0,0.0,48,F,28325.0,0,Sin_dato,I,Mid,1,124.0,ESTE
