CODE,Modelo_letra,PVP_original,p_churn,riesgo,valor,segmento,tasa_respuesta,CLTV,accion,descripcion_accion,coste_efectivo_contacto,coste_efectivo_adicional,coste_efectivo_descuento,coste_efectivo_marketing,coste_accion,CLTV_con_accion,ganancia_cltv,ROI
SYN000202,J,32990,0.042306475,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3256.1964008605264,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3342.6606053785054,34.58568180719158,17.050982154066585
SYN007289,J,32990,0.042316753,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3255.9892580755422,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3342.468915880094,34.591863121820644,17.05420830992726
SYN003551,J,34808,0.042396877,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3254.3749404278483,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3340.9749850731864,34.64001785813525,17.079341262074763
SYN004824,J,33675,0.042767014,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3246.9285011933525,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3334.082834336002,34.86173325705986,17.19505911120034
SYN000925,J,33675,0.042773213,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3246.803946136325,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3333.9675363985443,34.865436104887706,17.196991704012373
SYN005509,J,32990,0.042798933,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3246.2872166734837,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3333.4892060006146,34.880795730852334,17.205008210256953
SYN000777,J,33773,0.042850014,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3245.2612021139303,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3332.5394122509833,34.91128405482123,17.220920696670785
SYN008882,J,32990,0.04316532,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3238.935629345936,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3326.6830459275757,35.0989666326559,17.31887611307719
SYN000379,J,34808,0.043168146,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3238.8789641359945,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3326.6305784027213,35.10064570669074,17.319752456519176
SYN005401,J,31208,0.043252897,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3237.1809902575787,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3325.0583426993953,35.15094097672664,17.346002597456486
SYN001980,J,30892,0.043255985,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3237.119134714026,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3325.001066012143,35.15277251924672,17.346958517352142
SYN002687,J,32990,0.043398894,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3234.2581419804183,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3322.3517303797016,35.237435359713345,17.391145803608214
SYN001953,J,33773,0.043565467,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3230.9268181360967,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3319.2665431872356,35.33589002045556,17.442531325916256
SYN004209,J,32990,0.043665238,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3228.933228513102,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3317.420088385295,35.394743948877114,17.4732484075559
SYN000879,J,34808,0.043758113,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3227.078598879088,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3315.7022283468546,35.44945178710659,17.50180155903266
SYN001418,J,33675,0.043760687,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3227.0272111822787,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3315.654628731435,35.45096701966249,17.502592390220503
SYN007739,J,31208,0.043786503,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3226.51189500703,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3315.1772949812694,35.46615998969573,17.51052191529004
SYN008278,J,32990,0.043827377,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3225.696193906353,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3314.4217001242228,35.490202487147876,17.523070191622057
SYN002883,J,33773,0.043831464,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3225.614650728454,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3314.346164463109,35.492605493861994,17.52432437049164
SYN007593,J,34448,0.04384251,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3225.39426468863,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3314.1420138652834,35.499099670661415,17.527713815585283
SYN009312,J,31208,0.04389533,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3224.3405725728267,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3313.1659247339926,35.530140864466375,17.543914856193304
SYN000614,J,31208,0.04401326,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3221.9893491136186,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3310.987742692625,35.599357431602584,17.580040413153746
SYN008630,J,32990,0.044081356,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3220.6325649624214,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3309.730735548729,35.639268234523115,17.60087068607678
SYN000278,J,32990,0.04428664,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3216.545996966964,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3305.9443488211423,35.75934074167126,17.66353900922299
SYN006185,I,26880,0.036231384,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3216.3950806059606,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.6324000000000003,1.8324000000000003,3289.5593409876933,29.265704152693072,14.971242170210145
SYN008551,J,34133,0.044314057,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3216.000599660776,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3305.438975101073,35.77535017611881,17.671894663945096
SYN009134,J,33773,0.044348795,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3215.309731472109,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3304.7987926151195,35.79562445720421,17.682476230273597
SYN000389,J,33773,0.0445468,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3211.374834108599,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3301.1522992878536,35.910986071701885,17.742685841180524
SYN009488,J,34448,0.04456569,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3210.999764575705,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3300.80469513301,35.92197222292198,17.748419740564707
SYN006584,J,33773,0.04464975,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3209.331011584188,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3299.25808798322,35.97083055961266,17.773919916290527
SYN005359,J,30262,0.044723835,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3207.861070263504,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3297.895669054498,36.01383951639746,17.79636717974815
SYN003275,J,32990,0.044736296,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3207.613896047202,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3297.6665684328273,36.02106895425004,17.800140372781858
SYN008029,J,34133,0.04481448,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3206.0635527443387,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3296.229544511721,36.06639670695295,17.823797863754145
SYN004330,J,33675,0.044888437,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3204.5977138513836,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3294.870779945587,36.10922643768136,17.846151585428682
SYN001794,J,30262,0.044924185,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3203.8894524772995,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3294.214230728508,36.1299113004834,17.856947442841022
SYN002869,J,30246,0.044934813,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3203.6789104431377,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3294.019057967452,36.1360590097258,17.860156059355845
SYN002988,I,24228,0.03687236,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3203.631845739929,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.6324000000000003,1.8324000000000003,3277.7931437224192,29.66451919299616,15.188888448480766
SYN004523,J,34133,0.044957146,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3203.236547105069,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3293.608982062181,36.148973982844836,17.86689665075409
SYN007681,J,32990,0.044980984,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3202.7644448582564,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3293.1713311633252,36.162754522027534,17.874088998970525
SYN007044,J,33773,0.044991534,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3202.5555306090264,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3292.97766009003,36.16885179240144,17.87727129039741
SYN002372,J,31208,0.045073885,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3200.9252880717004,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3291.4663197986456,36.21641269077809,17.90209430625161
SYN002296,I,25953,0.03705177,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3200.0690299974785,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.6324000000000003,1.8324000000000003,3274.507757343669,29.775490938476107,15.249449322460219
SYN005811,J,31208,0.045166593,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3199.091086851591,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3289.7657981615735,36.269884523992914,17.930002361165403
SYN006138,J,33098,0.04523339,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3197.7701914211325,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3288.5411071410263,36.308366287957504,17.950086789121865
SYN005706,J,31208,0.04535604,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3195.346414778192,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3286.2937199451962,36.378922066801714,17.98691130835162
SYN001859,I,26448,0.03729909,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3195.164540251047,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.6324000000000003,1.8324000000000003,3269.9845330200137,29.927997107586634,15.332676876002308
SYN008529,J,33675,0.045374006,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3194.991511928194,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3285.9646297120476,36.38924711354139,17.99230016364373
SYN003766,J,33773,0.045561418,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3191.292073645427,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3282.5340241375334,36.49678019684252,18.048423902318643
SYN003752,J,33773,0.045561418,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3191.292073645427,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3282.5340241375334,36.49678019684252,18.048423902318643
SYN006372,J,34133,0.045572698,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3191.0695528448873,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3282.327660030517,36.50324287425192,18.051796907229598
SYN009251,J,34133,0.045572698,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3191.0695528448873,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3282.327660030517,36.50324287425192,18.051796907229598
SYN003644,J,34133,0.04557571,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3191.0101775635717,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3282.2725955835376,36.504967207986375,18.05269687264424
SYN008797,J,32990,0.04561472,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3190.240756806577,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3281.5590273042085,36.52730819905264,18.064357097626637
SYN004671,J,33098,0.045640953,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3189.723463286655,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3281.0792739188646,36.54232425288392,18.07219428647386
SYN002352,J,30246,0.045666486,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3189.220065695428,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3280.6124000368877,36.556933736583964,18.079819277966575
SYN000672,J,34133,0.0457412,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3187.7475223603524,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3279.2466509145816,36.59965142169167,18.102114520715897
SYN002526,I,28396,0.037708275,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3187.0675980192423,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.6324000000000003,1.8324000000000003,3262.515412015383,30.179125598456267,15.469725823213416
SYN008353,J,33773,0.045812976,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3186.3335904477362,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3277.9351989573447,36.64064340384339,18.123509083425564
SYN002697,J,33773,0.04583049,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3185.9887032804477,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3277.615299317504,36.65063841482261,18.128725686233093
SYN000625,J,32990,0.045928497,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3184.059286611026,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3275.8256030363236,36.70652657011906,18.157894869581966
SYN001632,J,30892,0.045993607,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3182.778194725878,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3274.6372184152606,36.74360947575297,18.177249204463966
SYN002012,J,31208,0.046083577,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3181.0088925244054,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3272.995869025617,36.7947906004847,18.20396169127594
SYN001759,J,33773,0.04608845,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3180.913098353366,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3272.9069997317238,36.797560551343125,18.205407385878456
SYN003892,J,33773,0.04612238,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3180.2461397130355,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3272.28824700877,36.81684291829388,18.215471251719137
SYN006830,J,34448,0.04615075,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3179.688551261583,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3271.77094884073,36.832959031658724,18.223882584373023
SYN009416,J,30246,0.04620928,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3178.5386343486766,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3270.704092076343,36.866183091066524,18.241222907654755
SYN003411,J,32990,0.046281673,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3177.1169101329483,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3269.3850039167623,36.907237513525615,18.262650059251364
SYN009069,J,34133,0.046428498,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3174.2355225062165,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3266.711433427406,36.990364368475824,18.306035682920573
SYN000119,I,29064,0.038455054,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3172.3464242280784,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.6324000000000003,1.8324000000000003,3248.930504915119,30.63363227481623,15.71776483017694
SYN003138,J,34133,0.046532147,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3172.2031274303476,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3264.825466505572,37.04893563008973,18.33660523491113
SYN005250,J,33773,0.046541095,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3172.027732823839,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3264.6627025073767,37.0539878734151,18.3392421051227
SYN005703,J,30246,0.04667744,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3169.356469779506,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3262.183684725271,37.130885978306104,18.37937681539984
SYN004687,J,32990,0.046692505,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3169.0614641638617,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3261.909896337308,37.13937286937853,18.383806299258104
SYN009707,J,30246,0.046729315,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3168.3407784909054,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3261.241031935553,37.160101377859064,18.394624936252118
SYN009693,J,30246,0.04675143,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3167.907911311684,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3260.839282460776,37.17254845963671,18.40112132548888
SYN009161,J,34133,0.04686948,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3165.598140105867,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3258.6954553537107,37.238926099137466,18.43576518744126
SYN000557,J,32990,0.046882443,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3165.3445966587583,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3258.4601173795963,37.24620828833522,18.43956591249228
SYN003965,J,34133,0.046926197,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3164.4890472468282,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3257.665985070547,37.27077512948745,18.45238785463854
SYN000115,J,34133,0.046926197,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3164.4890472468282,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3257.665985070547,37.27077512948745,18.45238785463854
SYN005045,K,33874,0.055038523,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3164.4077708652308,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.8040000000000003,2.0040000000000004,3273.614625249964,43.68274175389325,20.797775326294033
